duration_min,civilization_id,villagers_dark_age,villagers_feudal_age,villagers_castle_age,villagers_imperial_age,mil_trained_dark_age,mil_trained_feudal_age,mil_trained_castle_age,mil_trained_imperial_age,apm_dark_age,apm_feudal_age,apm_castle_age,apm_imperial_age,gather_point_count,wall_count,move_count,order_count,stance_count,first_wall_min,market_min,first_barracks_min,first_stable_min,first_archery_min,blacksmith_min,feudal_min,castle_min,imperial_min,double_bit_axe_min,horse_collar_min,gold_mining_min,wheelbarrow_min,loom_min,forging_min,fletching_min,bodkin_arrow_min,result,elo,barracks_count,stable_count,archery_count,blacksmith_count
43.51,37,18,18,74,40,0,3,37,23,537,304,647,277,96,2,961,224,1,9.34,17.48,35.56,10.1,,14.21,6.55,15.85,32.33,,9.05,16.39,22.83,5.31,34.96,40.59,,1,1731,1,6,0,2
30.99,22,28,20,39,0,0,9,53,0,591,1267,968,0,106,18,1291,356,820,7.64,18.65,7.41,8.87,,15.37,6.67,17.36,,,19.85,17.98,,5.59,,,,1,1817,1,3,0,1
30.99,29,25,27,56,0,0,25,21,0,347,503,383,0,111,29,478,265,40,10.47,28.6,7.55,,8.65,17.13,6.55,19.88,,,21.13,21.15,,5.79,,18.01,,0,1711,2,0,1,1
39.54,26,26,20,121,18,0,6,78,34,467,457,856,136,159,9,929,264,60,10.91,18.87,7.26,8.86,,15.98,6.65,16.68,33.86,,10.27,,34.88,5.9,17.63,36.74,,1,1714,1,5,0,1
39.54,10,20,27,62,19,0,15,35,29,568,801,1115,322,125,13,1885,266,126,6.9,22.81,7.94,8.95,13.37,18.42,6.7,18.24,31.05,,9.88,20.38,32.46,6.29,25.85,19.2,21.08,0,1676,1,3,1,1
38.94,38,19,20,73,17,0,7,44,57,429,488,730,177,160,5,859,312,37,10.44,19.87,7.59,8.89,,17.2,6.68,17.85,31.82,,8.98,32.07,26.91,6.15,20.6,,,1,1698,5,5,0,1
38.94,27,16,21,73,20,0,9,40,12,579,672,837,125,200,11,1285,414,0,7.52,15.98,7.97,9.23,13.14,14.59,6.82,17.81,32.48,,27.29,,34.7,6.01,33.61,18.38,22.54,0,1627,1,4,1,1
44.76,45,23,4,119,0,0,0,93,0,746,243,1633,4,207,0,1507,443,17,,10.6,8.97,10.62,,21.14,7.87,11.65,41.4,,12.13,31.69,20.82,7.14,31.54,32.54,34.29,1,1694,1,1,0,1
44.76,6,22,19,132,2,0,15,95,15,389,525,1115,34,183,12,855,361,116,10.39,16.72,9.04,18.52,9.91,11.21,7.48,18.04,40.56,19.88,10.21,,40.85,0.03,33.79,12.44,35.85,0,1731,1,5,2,1
17.84,8,18,20,0,0,0,16,0,0,293,506,0,0,49,8,515,110,25,6.92,,6.89,8.91,11.86,12.84,6.75,,,14.92,9.37,,,5.93,,14.91,,1,1744,1,1,1,1
17.84,40,22,19,0,0,0,18,0,0,415,379,0,0,76,20,401,195,21,10.04,,8.69,,10.37,16.94,8.14,,,,,,,5.92,,,,0,1711,1,0,2,1
26.28,3,20,44,0,0,0,52,0,0,446,865,0,0,107,20,726,256,40,8.66,18.43,7.74,9.02,9.07,12.16,6.58,,,,11.14,,,3.89,,13.22,,0,1743,1,3,1,2
26.28,11,21,26,2,0,2,55,3,0,627,1052,52,0,114,8,1143,299,7,9.25,,4.76,12.9,10.13,15.05,7.92,22.84,,18.65,10.69,,,6.95,17.5,16.41,26.06,1,1782,1,1,2,1
12.4,29,25,6,0,0,5,3,0,0,485,96,0,0,42,0,413,55,7,,,5.89,,,,7.95,,,,,,,7.44,,,,0,1673,1,0,0,0
12.4,33,25,9,0,0,0,4,0,0,441,178,0,0,55,17,347,127,26,8.29,,8.03,9.18,12.34,,6.65,,,,10.84,,,5.85,,,,1,1713,1,1,1,0
16.31,18,22,13,0,0,4,15,0,0,436,323,0,0,54,8,513,101,1,10.08,,5.12,15.55,9.45,11.25,7.24,,,,,,,6.16,,,,0,1689,1,1,1,1
16.31,44,24,20,0,0,2,9,0,0,443,340,0,0,72,9,431,144,28,9.74,,7.35,,9.55,12.44,6.65,,,,,9.0,,6.18,,13.26,,1,1697,1,0,1,1
42.42,39,20,20,104,4,0,18,99,41,390,414,1044,135,176,6,836,377,47,10.22,13.86,8.58,15.69,9.55,16.94,6.66,16.57,36.4,19.32,26.13,,35.13,6.13,29.83,18.33,19.33,1,1700,7,2,5,1
42.42,14,19,21,83,8,0,12,44,27,474,582,786,127,166,11,1101,305,2,5.98,16.93,7.86,20.8,9.44,13.73,7.17,19.23,36.32,36.59,9.79,19.82,27.68,6.31,21.42,14.5,36.59,0,1664,1,3,6,1
42.26,42,17,20,96,35,0,10,36,41,366,455,618,188,81,16,961,132,4,7.68,26.39,7.27,8.46,13.1,19.08,6.21,18.21,34.07,,8.94,20.18,29.97,8.58,,31.3,33.2,0,1625,1,5,4,1
42.26,18,18,23,85,18,0,22,32,36,453,450,745,194,156,22,866,329,61,9.83,17.9,7.48,21.07,8.88,17.27,6.62,18.65,34.23,,35.54,,,5.82,,19.37,21.73,1,1700,2,2,3,1
37.8,14,21,17,51,0,0,9,60,0,437,282,739,0,72,16,841,274,3,4.31,,7.63,10.05,,14.91,7.48,17.1,,,10.29,18.7,33.55,9.93,19.11,,,0,1697,2,1,0,1
37.8,34,21,40,76,6,0,7,45,18,507,662,760,106,136,5,1069,350,35,10.57,17.47,7.6,8.88,20.23,21.22,6.65,19.08,32.78,,11.43,29.68,21.02,5.29,24.23,,,1,1728,1,4,1,3
12.67,24,24,2,0,0,0,1,0,0,679,114,0,0,46,4,510,184,8,10.99,10.92,9.21,10.78,,,8.47,,,,,,,7.35,,,,0,1708,1,1,0,0
12.67,33,25,11,0,0,0,5,0,0,397,171,0,0,42,2,320,126,7,7.78,,7.65,8.92,,,6.57,,,,9.53,,,6.02,,,,1,1752,1,1,0,0
48.08,30,19,19,122,74,0,12,40,141,419,479,732,578,168,11,925,419,61,12.42,19.37,7.63,8.88,,16.89,6.43,17.43,33.67,35.78,9.01,,16.49,5.96,18.48,37.0,38.87,0,1735,4,10,0,1
48.08,41,16,18,79,39,0,9,63,68,538,634,1150,604,169,13,1621,382,202,9.82,17.09,7.47,9.0,15.41,19.08,6.66,17.89,35.61,20.82,16.62,18.42,15.75,6.14,42.38,19.94,20.76,1,1755,2,7,1,1
33.54,45,18,28,47,0,0,19,23,0,424,594,480,0,134,5,805,284,39,12.43,18.27,7.23,8.58,16.6,15.36,6.32,19.39,,,10.47,,30.33,7.01,,20.3,,0,1744,1,3,1,1
33.54,20,16,16,74,0,0,11,36,0,513,603,1036,0,91,18,1316,256,170,10.4,25.2,7.61,9.01,14.89,16.26,6.41,16.17,,,17.48,,20.01,6.19,,17.08,19.67,1,1899,1,3,1,1
41.99,23,16,21,94,12,0,7,61,52,471,575,849,248,158,9,1056,361,63,13.78,19.78,7.67,8.87,13.46,18.58,6.65,16.61,33.83,29.77,9.86,,27.59,5.74,31.36,29.76,36.85,1,1727,1,14,5,1
41.99,29,29,20,95,7,1,14,81,13,518,487,1110,46,146,14,1280,322,0,4.58,40.52,7.66,33.7,9.39,13.91,7.86,17.35,37.15,20.14,27.45,32.7,29.46,6.93,39.0,18.06,18.98,0,1747,6,3,3,1
42.43,8,20,20,88,36,0,7,38,82,499,349,562,412,172,5,907,229,4,10.32,27.82,7.27,8.88,,15.21,6.77,16.51,30.34,,10.0,16.9,18.64,5.44,17.9,37.55,,0,1719,1,11,0,1
42.43,6,21,18,97,24,0,5,52,110,442,455,798,405,140,6,1000,287,61,10.26,21.86,8.0,9.02,,15.89,6.74,16.59,30.78,37.75,16.92,16.56,18.05,0.02,18.21,32.76,33.83,1,1720,1,7,0,1
36.66,24,16,26,69,0,0,22,52,0,324,497,686,4,107,8,861,192,13,5.94,18.34,7.64,11.65,9.27,15.16,6.98,19.43,33.36,23.05,20.16,19.47,29.01,6.62,,16.5,22.27,1,1796,1,1,4,1
36.66,7,24,20,60,0,0,16,72,0,395,637,546,0,118,8,879,250,26,10.6,16.57,8.19,9.77,11.76,16.98,7.19,20.82,,18.16,11.49,21.18,19.87,6.69,21.97,18.15,30.2,0,1790,1,4,3,1
45.51,32,16,20,80,31,0,9,67,30,342,397,856,190,76,16,999,296,4,8.16,,6.75,8.69,23.38,13.61,6.47,18.22,37.66,28.2,11.12,18.93,37.72,5.4,15.21,23.46,24.88,0,1726,1,3,2,1
45.51,31,17,20,92,23,0,13,62,77,358,376,850,405,172,27,991,313,29,7.68,16.0,8.59,24.8,9.67,18.68,6.93,17.55,34.36,19.43,10.65,18.82,14.97,6.41,,19.44,20.24,1,1736,1,5,3,1
35.41,20,14,21,68,0,0,10,68,0,561,733,1061,0,145,20,1181,359,343,8.88,20.61,7.75,8.61,,17.3,6.16,17.62,,,9.82,25.73,15.37,7.13,29.4,,,0,1864,1,4,0,1
35.41,28,15,20,61,6,0,11,56,1,418,490,688,71,112,6,1012,175,87,5.39,27.62,,8.66,12.16,17.62,6.43,17.2,30.99,28.06,9.97,18.31,28.92,10.37,,18.35,20.02,1,2003,0,2,6,1
36.86,45,21,20,23,0,0,21,101,0,387,463,1014,0,163,11,1002,274,140,4.62,18.62,7.29,8.53,14.75,16.19,6.32,17.22,,,9.37,,,5.67,19.07,18.56,20.25,1,1833,1,1,2,1
36.86,23,21,20,66,0,0,4,123,0,387,453,798,0,131,12,874,309,14,9.68,15.26,7.29,8.45,,18.73,6.26,17.02,,,10.32,,,5.82,19.36,,,0,1766,1,4,0,1
43.4,18,20,23,89,24,0,20,29,131,797,1124,1280,664,223,14,1937,334,817,9.14,,8.16,35.32,9.8,13.76,6.98,18.77,31.67,,13.59,20.77,25.45,6.42,37.81,14.52,21.51,1,1724,1,7,1,1
43.4,30,22,16,94,21,0,8,64,98,395,451,796,444,139,9,1060,341,20,8.14,21.78,8.07,9.06,16.52,12.51,6.62,16.64,31.45,28.0,17.15,,34.02,5.77,,17.74,19.47,0,1740,1,6,4,1
37.45,33,16,27,80,0,0,19,45,0,445,407,733,0,103,17,930,172,2,9.23,24.79,7.1,19.29,8.93,11.2,6.7,18.91,35.05,,19.99,17.97,20.64,5.26,29.43,12.51,21.61,0,1735,1,4,1,1
37.45,27,23,19,107,2,0,8,58,28,456,469,756,155,137,7,982,262,14,9.39,23.29,7.57,9.08,10.91,15.22,6.81,17.65,31.79,34.98,10.32,19.72,25.55,6.02,19.88,34.96,,1,1707,1,4,1,1
37.13,18,24,24,69,0,0,17,29,0,432,393,828,0,124,14,833,326,63,9.51,16.21,7.87,,9.33,11.33,6.76,17.99,35.74,,10.77,,9.92,6.49,,12.33,21.74,1,1713,1,0,1,1
37.13,9,15,18,69,3,0,8,51,1,441,427,938,32,145,9,930,263,228,9.39,9.24,7.53,8.51,10.49,14.59,6.22,15.48,33.16,22.64,,,22.38,5.34,,15.89,18.26,0,1762,2,1,4,1
43.54,9,18,18,52,26,0,8,82,31,318,304,731,204,108,2,781,282,4,14.31,15.49,7.5,17.07,9.52,10.97,7.02,17.37,35.59,13.28,18.0,37.48,40.21,6.02,25.9,11.93,29.73,1,1721,1,2,4,1
43.54,43,24,20,133,30,0,9,138,22,392,523,918,215,148,9,957,327,23,10.98,16.2,7.73,9.04,9.62,15.16,6.75,17.72,35.34,18.39,10.07,19.08,,6.38,27.09,16.39,20.58,0,1723,4,3,3,1
23.74,12,25,28,0,0,5,23,0,0,462,713,0,0,32,15,854,156,7,8.6,18.99,6.37,,9.1,12.35,6.87,22.84,,,23.18,,,8.92,,19.6,,0,1752,1,0,1,1
23.74,29,30,31,0,0,1,19,0,0,378,626,0,0,81,11,526,185,42,7.79,18.86,6.76,,8.46,15.09,6.93,21.96,,19.09,16.35,19.11,,6.12,,16.59,23.69,1,1773,1,0,2,1
26.19,44,58,0,0,0,23,0,0,0,991,0,0,0,74,50,571,222,0,5.11,,4.18,,,,,,,,,,,3.07,,,,0,1723,1,0,0,0
26.19,30,25,43,0,0,0,17,0,0,394,727,0,0,80,16,583,293,25,4.87,17.26,8.59,,9.68,18.71,6.86,,,24.5,24.57,,,6.26,,21.73,,1,1776,1,0,1,2
41.37,39,28,21,111,0,3,9,49,0,1094,1144,1551,0,89,17,1954,353,1047,5.58,14.91,5.06,,11.74,17.77,6.64,17.43,,,8.94,,20.47,5.7,,18.84,20.13,0,2255,1,0,5,1
41.37,3,19,15,152,10,3,8,90,1,525,457,1275,75,210,1,1150,411,7,11.67,14.06,6.98,29.94,9.49,17.77,7.2,15.33,37.16,22.25,17.11,15.65,18.35,5.69,34.84,18.78,20.64,1,2278,1,4,4,1
39.19,28,24,25,91,0,0,15,56,8,417,583,916,21,115,9,942,345,50,13.01,29.42,7.58,8.87,12.56,19.64,6.48,18.4,35.54,20.94,9.2,18.9,34.49,6.24,36.92,20.93,23.62,1,1747,1,6,1,1
39.19,33,16,23,87,0,0,33,39,0,449,726,839,0,98,9,1252,330,45,7.87,18.37,8.29,26.62,9.19,14.25,6.79,19.51,,20.77,,,36.86,7.46,,15.54,22.38,0,1747,1,2,3,1
35.2,25,24,19,55,0,0,20,52,0,390,470,715,9,118,11,869,239,58,8.3,20.37,7.42,20.05,8.62,10.48,6.42,17.53,31.82,18.16,18.58,18.17,,5.83,,11.26,20.26,1,1763,1,1,3,1
35.2,9,36,4,87,0,0,0,29,0,740,123,1091,0,150,11,1072,431,25,5.41,11.5,7.41,11.65,,13.03,9.23,13.35,,,13.79,34.05,34.89,8.26,33.84,33.85,,0,1732,1,1,0,2
46.95,25,28,35,76,55,0,23,79,109,440,721,884,404,171,22,1135,475,74,9.46,14.67,7.82,21.44,10.19,12.93,6.75,21.28,35.3,,11.55,22.61,27.5,6.74,35.9,16.09,24.01,1,1731,4,1,5,1
46.95,38,22,28,84,18,0,24,139,69,481,944,1212,256,165,3,1788,417,39,12.22,38.14,7.36,8.6,10.71,18.23,6.4,19.63,39.45,20.9,13.28,39.69,33.95,9.0,23.93,19.04,42.45,0,1731,1,10,6,1
51.28,13,24,19,93,102,4,21,76,371,423,539,775,696,180,10,953,380,101,4.9,17.62,8.47,19.38,9.79,16.13,7.55,18.71,32.84,19.62,26.63,,29.1,6.37,29.52,16.98,,1,1760,6,4,1,1
51.28,27,22,29,139,78,0,14,111,101,820,1142,1391,783,415,23,2021,407,467,7.4,36.61,9.28,10.08,11.58,16.35,6.4,19.03,37.23,33.29,19.74,37.1,30.48,5.85,20.81,19.48,23.24,0,1754,1,6,4,2
33.89,6,28,18,84,6,0,7,39,9,420,452,684,52,136,18,783,245,35,9.2,24.85,8.02,9.08,15.69,13.23,6.72,16.13,29.82,29.15,9.66,17.57,25.72,0.02,,17.28,19.82,1,1814,1,2,4,1
33.89,11,27,17,98,0,0,13,46,0,425,437,661,0,128,11,758,132,132,3.93,16.92,8.79,10.19,12.2,15.01,7.95,17.65,33.67,21.75,10.27,19.4,,7.39,31.07,15.91,20.46,0,1929,1,3,2,1
35.74,38,23,22,93,0,0,10,142,0,452,409,786,0,100,14,791,229,51,4.96,31.84,7.89,9.16,,17.03,6.7,17.51,,,11.6,18.56,18.49,6.09,18.22,,,0,1787,1,5,0,1
35.74,2,16,18,78,0,0,5,92,1,332,221,644,9,112,8,509,165,23,9.48,31.49,7.19,9.1,31.68,14.66,6.74,16.86,32.41,,,17.36,34.16,5.44,17.86,,,1,1828,3,3,2,1
41.09,30,25,20,114,23,5,19,46,25,678,1045,1292,168,312,0,1951,412,15,,15.48,5.28,17.64,9.67,12.31,6.71,17.82,35.58,28.38,18.56,,33.04,5.94,19.58,13.87,27.87,0,1735,1,3,3,1
41.09,31,21,27,77,1,0,17,60,3,427,598,939,50,96,16,1055,389,38,9.23,17.48,7.58,8.9,10.13,14.35,6.7,19.8,37.09,34.42,17.98,38.26,34.48,6.28,,15.8,23.02,1,1788,1,3,3,1
22.93,3,25,3,3,0,0,0,19,0,898,441,429,0,271,19,853,556,0,9.03,11.49,,,,13.27,8.03,14.73,,,,,,1.07,,,,1,1771,0,0,0,1
22.93,6,29,24,0,0,3,38,0,0,383,521,0,0,35,8,578,129,11,9.14,19.62,5.96,22.25,10.35,13.31,8.15,21.27,,14.94,,,18.11,0.02,,14.26,,0,1726,1,2,3,1
46.69,41,23,27,101,64,0,21,33,56,477,621,756,428,164,23,1009,419,41,9.1,17.37,7.87,16.49,9.5,13.41,6.95,19.95,35.35,21.89,20.91,20.91,28.64,6.51,44.99,14.74,22.73,0,1790,1,4,2,1
46.69,16,19,24,117,11,4,27,112,65,474,574,887,181,134,9,1044,330,26,7.26,19.2,5.67,,9.16,12.28,6.67,20.12,38.82,15.83,20.67,20.69,22.51,0.02,32.57,13.07,22.87,1,1738,9,0,1,1
51.23,42,26,22,20,75,3,33,16,142,532,589,455,700,133,7,1303,287,23,5.47,32.86,5.04,20.41,11.15,14.96,8.9,20.32,28.4,20.96,21.76,,28.12,7.4,36.85,15.82,23.04,0,1817,1,6,5,1
51.23,25,22,30,16,58,0,29,44,85,405,646,461,907,180,33,1293,433,38,8.54,20.2,8.3,14.04,10.24,11.78,6.62,20.81,29.85,18.3,12.3,19.39,,6.27,,12.38,23.55,1,1852,2,1,3,1
24.75,20,22,33,2,0,0,28,2,0,400,724,24,0,66,5,648,228,18,7.25,21.08,8.49,19.12,9.49,14.47,6.35,21.55,,17.3,,,17.54,6.45,,15.26,24.3,0,1879,1,1,1,1
24.75,1,21,30,6,0,4,37,2,0,405,544,105,0,78,4,649,129,36,13.15,,4.56,,10.69,13.42,8.34,20.06,,15.49,11.29,,,6.86,,14.35,22.82,1,1907,1,0,1,1
37.7,3,25,28,63,0,3,16,35,2,422,570,786,9,131,6,947,286,48,7.93,26.23,7.3,19.78,9.31,15.34,7.07,18.65,34.33,,20.61,20.59,,1.33,,16.18,27.02,1,1835,2,1,1,1
37.7,6,21,2,60,0,0,0,54,0,551,226,1481,0,233,11,1401,389,11,4.97,10.77,,,,11.65,8.32,12.97,,,16.5,,,0.02,,26.32,28.24,0,1861,0,0,0,1
17.13,28,22,20,0,0,0,17,0,0,418,433,0,0,39,7,618,99,1,7.36,,,,8.93,11.79,6.73,,,12.77,16.37,,,6.13,,12.83,,1,1794,0,0,2,1
17.13,13,30,16,0,0,0,18,0,0,470,383,0,0,61,9,495,161,22,8.75,16.61,6.23,,9.78,12.98,7.44,,,16.74,10.22,,,7.13,,,,0,1818,1,0,1,1
47.59,21,36,23,94,38,4,24,41,84,720,487,1074,555,107,9,1630,386,162,9.13,15.11,3.01,,12.02,16.01,9.05,19.61,35.83,20.19,11.67,,31.78,8.57,41.88,16.69,22.33,1,1826,5,0,3,2
47.59,25,28,17,134,70,0,19,32,112,436,440,699,572,139,10,905,357,15,6.01,17.37,7.87,39.85,8.92,13.73,6.7,18.15,32.9,18.93,,,16.82,6.24,42.34,14.43,20.88,0,1834,1,1,5,1
65.1,1,23,22,55,118,0,19,80,208,542,705,1222,1580,175,7,2447,591,69,7.56,35.06,7.28,,8.52,9.89,6.27,18.06,36.16,18.7,30.05,19.33,31.06,5.72,,12.88,21.32,0,1740,4,0,16,1
65.1,19,19,17,89,154,0,12,23,319,394,361,723,1379,157,14,1110,547,43,9.95,29.16,7.29,8.93,9.06,12.02,6.48,16.32,32.49,18.03,9.8,18.74,37.32,6.23,34.99,17.27,19.12,1,1772,24,8,8,2
41.24,10,17,20,88,13,0,11,86,42,469,582,875,185,112,10,1255,298,1,9.47,17.35,8.26,8.99,19.03,14.17,6.67,18.13,34.51,22.55,9.55,18.67,20.41,5.7,35.92,19.48,20.9,1,1915,1,4,4,1
41.24,35,18,23,124,0,0,10,117,0,403,573,1031,0,116,10,1034,325,37,6.85,14.92,7.43,8.62,17.98,15.22,6.2,17.85,38.49,26.24,9.78,18.27,30.17,6.58,,18.95,20.58,0,1847,2,3,3,1
44.73,21,22,27,111,0,0,23,226,0,406,593,1119,0,157,12,1040,371,52,9.3,22.4,7.82,,8.9,11.4,6.69,20.65,,15.1,15.76,,21.95,5.86,22.67,12.03,,0,1864,7,0,1,1
44.73,2,16,28,108,6,0,24,75,21,440,884,1197,126,208,23,1504,533,10,8.11,20.26,7.8,8.74,11.11,18.62,6.34,21.14,39.43,,,35.55,9.46,5.18,30.55,21.94,24.39,1,1834,1,6,2,1
58.09,27,20,17,82,14,0,10,154,87,423,266,1519,378,205,11,1383,443,4,9.79,38.32,8.18,9.22,15.87,13.24,7.02,16.53,45.31,24.18,17.47,20.02,31.21,13.87,30.19,17.51,19.95,0,1800,1,9,2,1
58.09,30,21,15,91,130,0,5,71,225,394,325,741,1078,146,9,1181,435,43,10.16,29.44,8.06,9.3,23.09,15.09,6.94,16.09,32.64,23.66,9.5,,17.23,6.83,17.59,23.65,35.91,1,1866,2,5,3,1
15.67,14,18,2,0,0,0,0,0,0,566,238,36,0,70,9,567,159,0,4.83,9.99,,,,9.66,7.39,12.21,,,,,,6.95,,14.49,,0,1781,0,0,0,1
15.67,8,26,15,0,0,0,6,0,0,523,422,0,0,75,2,659,124,2,8.29,,7.2,9.12,,12.24,6.96,,,,,,,5.9,15.31,13.0,,1,1794,1,1,0,1
45.21,4,23,19,188,0,0,20,302,0,446,521,1407,0,127,9,1070,353,30,11.59,15.85,7.79,8.92,10.38,18.78,6.55,17.44,,19.64,14.79,19.36,14.4,6.28,29.16,19.63,22.35,1,1801,7,8,2,1
45.21,7,23,19,36,23,0,19,72,72,639,707,793,757,188,12,1816,424,56,7.47,16.35,8.19,18.84,9.32,17.87,7.08,18.55,29.84,,10.9,25.98,,6.25,19.75,20.13,,0,1854,1,4,2,1
22.78,44,20,22,7,0,1,17,21,0,497,526,134,0,90,5,675,166,87,8.81,16.66,8.29,,9.63,11.48,7.28,17.44,,,10.73,,,3.76,,12.29,,0,1782,3,0,1,1
22.78,42,20,19,7,0,0,14,16,0,630,779,500,0,99,8,935,176,560,9.26,,7.48,16.61,8.65,14.37,6.33,15.92,,17.1,18.49,17.87,,4.66,,16.49,18.77,1,1887,2,1,2,1
33.28,38,22,25,59,0,0,15,34,0,507,687,532,0,96,11,990,290,74,7.28,18.94,7.04,8.93,13.84,15.69,6.7,19.66,,16.79,9.01,,18.72,6.06,20.55,16.45,,0,1823,1,3,1,1
33.28,31,16,36,102,0,0,32,78,0,596,961,754,0,76,10,1604,279,16,11.76,33.05,7.55,8.52,10.44,12.91,6.25,19.62,,,8.49,20.13,16.93,5.52,,14.25,22.38,1,1869,1,1,4,1
38.13,3,27,17,68,0,0,12,93,0,417,370,982,0,144,14,834,354,58,5.69,18.02,7.84,,10.78,13.97,7.01,16.05,,,9.23,,,3.23,37.87,17.15,,1,1826,1,0,2,2
38.13,12,28,3,7,0,0,0,77,0,331,85,1084,0,92,8,981,269,9,11.81,9.47,12.25,,13.29,10.04,7.18,10.57,,,,,,4.78,,15.48,20.43,0,1847,1,0,2,1
39.87,6,14,26,90,29,0,27,67,33,417,648,775,123,137,31,899,391,58,5.63,16.31,7.7,8.85,10.2,13.67,6.63,19.45,33.47,15.17,8.92,21.21,30.2,0.01,20.3,14.4,22.2,0,1810,3,1,2,1
39.87,33,18,17,123,0,0,20,106,9,483,562,1091,51,122,8,1082,355,169,6.25,38.76,7.8,16.53,8.86,11.59,6.49,16.75,35.46,27.59,18.5,18.52,22.1,5.1,32.55,14.63,19.72,1,1814,1,5,3,1
37.76,37,20,20,71,0,0,18,60,0,410,724,800,0,122,20,1057,344,78,2.68,15.87,31.8,21.26,9.67,13.21,6.64,18.99,,31.68,9.0,,23.88,6.14,35.91,16.72,26.53,0,1810,2,1,1,1
37.76,53,23,23,87,1,0,18,68,0,549,989,1400,15,143,6,1975,346,89,23.69,32.16,7.14,8.46,11.86,17.86,6.22,16.25,34.46,,,27.98,28.4,5.51,18.44,18.43,,1,1900,1,3,1,1
39.21,30,19,21,81,0,0,11,90,1,508,434,998,22,130,13,924,373,99,9.01,14.55,7.95,18.45,9.35,11.04,7.0,17.69,35.47,32.11,9.53,19.03,22.67,6.37,19.2,14.29,,1,1798,2,6,1,1
39.21,27,17,18,85,19,0,4,35,19,687,742,926,192,151,12,1423,590,1,5.4,31.54,7.79,8.86,35.77,15.58,6.67,17.22,31.85,35.72,9.39,32.36,35.67,6.01,20.18,33.3,35.16,0,1804,2,5,1,2
48.86,2,16,34,83,34,0,20,83,103,297,507,823,274,86,15,969,179,28,10.15,47.76,7.13,8.14,12.06,15.35,5.91,19.68,37.74,30.99,,,32.27,5.47,33.63,20.61,30.51,0,1749,4,4,6,2
48.86,30,29,21,121,24,4,15,81,171,448,454,1094,451,174,12,920,470,101,9.08,27.49,6.57,20.04,9.84,15.34,7.44,18.44,38.32,,13.29,,24.49,6.76,30.39,16.12,21.17,1,1794,13,6,1,1
34.12,16,35,23,52,0,0,19,21,0,624,666,597,0,160,17,1039,450,1,6.01,20.63,10.43,,11.32,16.34,9.06,21.98,,25.88,11.85,,25.59,0.08,,25.87,,0,1745,2,0,1,1
34.12,25,29,27,37,0,0,36,33,0,684,761,535,0,132,10,1091,341,90,3.9,16.16,9.65,16.99,10.72,13.3,8.09,22.33,,14.61,24.56,24.57,14.8,6.39,20.31,13.92,25.04,1,1804,1,1,2,1
28.64,51,24,23,39,0,0,21,38,0,451,591,480,0,114,6,832,195,95,10.83,16.89,7.88,9.27,14.9,19.14,6.76,18.31,,19.87,9.92,,,6.31,,19.86,21.01,1,1817,1,1,2,1
28.64,17,22,25,45,0,0,17,18,0,514,759,711,0,95,8,1410,237,3,9.79,26.99,7.54,8.87,13.65,17.92,6.56,17.2,,,23.45,,,6.13,,18.54,19.93,0,1875,1,1,2,1
62.51,35,17,29,138,80,0,9,117,215,515,488,1344,973,223,24,1433,625,79,8.0,23.87,8.5,9.43,16.68,15.87,6.2,18.24,41.22,43.52,8.56,18.77,33.28,5.83,29.29,19.34,20.95,1,1789,3,19,7,1
62.51,44,20,17,102,99,0,11,169,297,740,1127,2017,1607,276,8,2317,665,1190,8.22,30.14,7.93,9.29,13.34,16.74,6.87,17.48,41.54,59.08,9.42,19.98,14.93,6.02,18.1,43.54,52.78,0,1817,8,2,1,1
53.33,23,24,20,86,67,0,6,38,204,456,614,743,999,144,12,1337,559,119,9.67,31.28,7.26,8.56,24.86,17.39,6.33,17.77,31.96,,10.8,19.09,15.37,5.82,19.66,,,0,1797,1,8,1,1
53.33,51,18,23,68,74,0,7,27,188,527,629,819,1348,212,24,1456,632,379,4.69,27.99,7.59,8.91,18.54,16.91,6.67,18.06,32.11,22.7,9.91,18.57,15.49,6.06,36.25,18.89,20.88,1,1824,5,3,2,1
27.82,52,22,27,25,0,0,4,48,0,467,477,569,0,70,6,992,217,26,9.26,,7.66,8.88,16.45,15.56,6.52,16.9,,18.14,10.08,16.78,,5.21,,18.09,19.76,0,2043,1,1,3,1
27.82,51,21,17,66,0,0,5,50,0,467,396,573,0,63,6,861,230,26,9.76,,8.01,8.91,15.98,14.19,6.54,15.76,,22.23,16.81,16.78,,8.74,,17.64,18.48,1,2024,1,1,3,1
50.62,32,22,55,136,0,3,19,50,0,458,905,1142,0,196,34,1084,547,101,7.81,18.27,7.3,,14.04,16.66,6.3,26.66,,,45.12,,50.07,5.63,27.47,19.89,31.11,1,1771,2,0,1,1
50.62,29,40,38,52,0,3,28,94,0,577,587,544,0,163,9,848,333,8,8.02,24.34,4.4,24.67,12.77,14.77,11.15,30.71,,,35.06,40.09,,7.61,35.75,,,0,1726,4,1,2,1
44.93,9,21,23,101,20,0,14,96,49,454,453,1146,187,124,10,1096,365,79,9.7,12.21,7.47,8.91,17.65,18.28,6.66,17.16,37.81,19.58,10.72,19.13,35.57,6.22,40.67,19.62,21.3,0,1861,1,7,2,1
